CV181x,500Mhz,2022-6-17
Net,Inference Cycle(ms)
resnet18_bs1,18.26
mobilenet_v1_bs1,7.18
mobilenet_v2_bs1,7.07
shufflenet_v2_bs1,1.53
googlenet_bs1,19.63
inception_v3_bs1,55.95
densenet_121_bs1,36.66
densenet_201_bs1,66.26
senet_res50_bs1,53.47
resnext50_bs1,49.19
efficientnet-lite_b0_bs1,6.91
nasnet_mobile_bs1,13.91
retinaface_mnet25_bs1,3.56
retinaface_mnet25_600_bs1,14.25
mobilenet_ssd_bs1,14.79
yolo_v1_448_bs1,20.20
yolo_v3_tiny_bs1,26.81
arcface_res50_bs1,63.10
